municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 13:50:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 14:10:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 14:40:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 14:50:00.0;1,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 15:00:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 15:10:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 15:20:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 15:30:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 15:40:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 15:50:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 16:00:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 16:20:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 17:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 18:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 19:00:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 20:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 22:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-17 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 03:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 03:50:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 07:20:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 08:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 09:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 10:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 11:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 12:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 12:20:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 12:30:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 13:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 13:40:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 14:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 15:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 16:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 17:10:00.0;2,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 17:20:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 17:30:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 17:40:00.0;0,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 17:50:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 18:00:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 18:30:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 19:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 20:00:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 20:10:00.0;1,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 20:20:00.0;1,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 20:30:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 20:40:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 22:10:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-18 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 01:20:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 03:10:00.0;0,00
